id,label
00001,0
00002,0
00003,0
00004,0
00005,0
00006,0
00007,0
00008,0
00009,0
00010,0
00011,0
00012,0
00013,0
00014,0
00015,0
00016,0
00017,0
00018,0
00019,0
00020,0
00021,0
00022,0
00023,0
00024,0
00025,0
00026,0
00027,0
00028,0
00029,0
00030,0
00031,0
00032,0
00033,0
00034,0
00035,0
00036,0
00037,0
00038,0
00039,0
00040,0
00041,0
00042,0
00043,0
00044,0
00045,0
00046,0
00047,0
00048,0
00049,0
00050,0
00051,0
00052,0
00053,0
00054,0
00055,0
00056,0
00057,0
00058,0
00059,0
00060,0
00061,0
00062,0
00063,0
00064,0
00065,0
00066,0
00067,0
00068,0
00069,0
00070,0
00071,0
00072,0
00073,0
00074,0
00075,0
00076,0
00077,0
00078,0
00079,0
00080,0
00081,0
00082,0
00083,0
00084,0
00085,0
00086,0
00087,0
00088,0
00089,0
00090,0
00091,0
00092,0
00093,0
00094,0
00095,0
00096,0
00097,0
00098,0
00099,0
00100,0
00101,0
00102,0
00103,0
00104,0
00105,0
00106,0
00107,0
00108,0
00109,0
00110,0
00111,0
00112,0
00113,0
00114,0
00115,0
00116,0
00117,0
00118,0
00119,0
00120,0
00121,0
00122,0
00123,0
00124,1
00125,1
00126,1
00127,1
00128,1
00129,1
00130,1
00131,1
00132,1
00133,1
00134,1
00135,1
00136,1
00137,1
00138,1
00139,1
00140,1
00141,1
00142,1
00143,1
00144,1
00145,1
00146,1
00147,1
00148,1
00149,1
00150,1
00151,1
00152,1
00153,1
00154,1
00155,1
00156,1
00157,1
00158,1
00159,1
00160,1
00161,1
00162,1
00163,1
00164,1
00165,1
00166,1
00167,1
00168,1
00169,1
00170,1
00171,1
00172,1
00173,1
00174,1
00175,1
00176,1
00177,1
00178,1
00179,1
00180,1
00181,1
00182,1
00183,1
00184,1
00185,1
00186,1
00187,1
00188,1
00189,1
00190,1
00191,1
00192,1
00193,1
00194,1
00195,1
00196,1
00197,1
00198,1
00199,1
00200,1
00201,1
00202,1
00203,1
00204,1
00205,1
00206,1
00207,1
00208,1
00209,1
00210,1
00211,1
00212,1
00213,1
00214,1
00215,1
00216,1
00217,1
00218,1
00219,1
00220,1
00221,1
00222,1
00223,1
00224,1
00225,1
00226,1
00227,1
00228,1
00229,1
00230,1
00231,1
00232,1
00233,1
00234,1
00235,1
00236,1
00237,1
00238,1
00239,1
00240,1
00241,1
00242,1
00243,1
00244,1
00245,1
00246,1
00247,1
00248,1
00249,1
00250,1
00251,1
00252,1
00253,1
00254,1
00255,1
00256,1
00257,1
00258,1
00259,1
00260,1
00261,1
00262,1
00263,1
00264,1
00265,1
00266,1
00267,1
00268,1
00269,1
00270,1
00271,1
00272,1
00273,1
00274,1
00275,1
00276,1
00277,1
00278,1
00279,1
00280,1
00281,1
00282,1
00283,1
00284,1
00285,1
00286,1
00287,1
00288,1
00289,1
00290,1
00291,1
00292,1
00293,1
00294,1
00295,1
00296,1
00297,1
00298,1
00299,1
00300,1
00301,1
00302,1
00303,1
00304,1
00305,1
00306,1
00307,1
00308,1
00309,1
00310,1
00311,1
00312,1
00313,1
00314,1
00315,1
00316,1
00317,1
00318,1
00319,1
00320,1
00321,1
00322,1
00323,1
00324,1
00325,1
00326,1
00327,1
00328,1
00329,1
00330,1
00331,1
00332,1
00333,1
00334,1
00335,1
00336,1
00337,1
00338,1
00339,1
00340,1
00341,1
00342,1
00343,1
00344,1
00345,1
00346,1
00347,1
00348,1
00349,1
00350,1
00351,1
00352,1
00353,1
00354,1
00355,1
00356,1
00357,1
00358,1
00359,1
00360,1
00361,1
00362,1
00363,1
00364,1
00365,1
00366,1
00367,1
00368,1
00369,1
00370,1
00371,1
00372,1
00373,1
